event,excel_rank,poi_value,P_value_given_event_pct,P_value_given_non_event_pct,discrimination_gap_pp,implied_balanced_accuracy_pct
Boat,23,bench,84.96,74.45,10.51,55.25
Boat,24,grass,84.07,73.56,10.51,55.25
Boat,25,stable,11.50,1.26,10.24,55.12
Bus,1,secondary_link,100.00,29.58,70.42,85.21
Bus,2,cliff,86.49,17.99,68.50,84.25
Bus,3,fitness_center,98.65,35.21,63.44,81.72
Bus,4,university,87.84,25.34,62.50,81.25
Bus,5,fire_station,82.43,24.26,58.17,79.09
Bus,6,primary_link,81.08,24.26,56.82,78.41
Bus,7,parking_space,89.19,33.25,55.94,77.97
Bus,8,atm,100.00,44.66,55.34,77.67
Bus,9,kindergarten,89.19,35.08,54.11,77.06
Bus,10,proposed,74.32,20.50,53.82,76.91
Bus,11,adult_gaming_centre,59.46,6.16,53.30,76.65
Bus,12,library,90.54,37.70,52.84,76.42
Bus,13,community_center,86.49,34.23,52.26,76.13
Bus,14,dog_park,77.03,24.97,52.06,76.03
Bus,15,recreation_ground,71.62,20.03,51.59,75.80
Bus,16,trunk,70.27,18.89,51.38,75.69
Bus,17,greenfield,59.46,8.10,51.36,75.68
Bus,18,construction,100.00,48.76,51.24,75.62
Bus,19,sports_hall,64.86,14.63,50.23,75.12
Bus,20,museum,87.84,38.12,49.72,74.86
Bus,21,attraction,89.19,40.63,48.56,74.28
Bus,22,flowerbed,67.57,19.55,48.02,74.01
Bus,23,fitness_station,72.97,25.48,47.49,73.75
Bus,24,carport,58.11,10.77,47.34,73.67
Bus,25,pharmacy,100.00,52.88,47.12,73.56
Bus,26,bay,51.35,4.47,46.88,73.44
Bus,27,parking_entrance,87.84,41.01,46.83,73.42
Bus,28,primary,90.54,43.86,46.68,73.34
Bus,29,stop,94.59,48.36,46.23,73.12
Bus,30,taxi,74.32,28.47,45.85,72.92
Bus,31,detached,78.38,32.78,45.60,72.80
Bus,32,post_box,98.65,53.33,45.32,72.66
Bus,33,artwork,100.00,54.81,45.19,72.59
Bus,34,peak,58.11,12.94,45.17,72.59
Bus,35,office,83.78,39.05,44.73,72.37
Bus,36,switch,75.68,31.16,44.52,72.26
Bus,37,tram_level_crossing,60.81,16.83,43.98,71.99
Bus,38,parcel_locker,58.11,14.15,43.96,71.98
Bus,39,traffic_signals,100.00,57.06,42.94,71.47
Bus,40,sand,59.46,16.77,42.69,71.34
Bus,41,building,70.27,27.88,42.39,71.19
Bus,42,fast_food,100.00,58.54,41.46,70.73
Bus,43,arts_centre,63.51,22.22,41.29,70.64
Bus,44,waste_disposal,72.97,31.80,41.17,70.59
Bus,45,corridor,59.46,18.49,40.97,70.48
Bus,46,retail,100.00,59.05,40.95,70.47
Bus,47,commercial,100.00,59.10,40.90,70.45
Bus,48,disused,55.41,14.71,40.70,70.35
Bus,49,tram_stop,60.81,20.24,40.57,70.28
Bus,50,church,97.30,57.46,39.84,69.92
Car,1,industrial,75.96,56.38,19.58,59.79
Car,2,level_crossing,39.78,21.00,18.78,59.39
Car,3,fuel,62.92,44.97,17.95,58.98
Car,4,stop,64.94,47.20,17.74,58.87
Car,5,retail,72.36,58.20,14.16,57.08
Car,6,secondary_link,43.37,29.30,14.07,57.03
Car,7,drain,34.16,20.42,13.74,56.87
Car,8,primary_link,36.63,23.88,12.75,56.38
Car,9,garage,54.83,43.00,11.83,55.91
Car,10,railway,47.42,35.73,11.69,55.85
Car,11,community_center,45.39,33.91,11.48,55.74
Car,12,warehouse,34.16,22.94,11.22,55.61
Car,13,secondary,80.00,68.79,11.21,55.60
Car,14,switch,41.80,30.74,11.06,55.53
Car,15,motel,19.33,8.27,11.06,55.53
Car,16,university,36.18,25.29,10.89,55.45
Car,17,library,48.31,37.46,10.85,55.42
Car,18,primary,54.16,43.53,10.63,55.31
Car,19,studio,24.04,13.73,10.31,55.16
Crickets,1,orchard,26.02,13.30,12.72,56.36
Dog,1,farmland,55.31,30.78,24.53,62.27
Dog,2,orchard,36.87,13.33,23.54,61.77
Dog,3,stream,71.51,54.04,17.47,58.73
Dog,4,static_caravan,18.99,3.89,15.10,57.55
Dog,5,cemetery,43.02,29.33,13.69,56.84
Dog,6,grave_yard,24.02,10.83,13.19,56.59
Dog,7,track,83.80,73.03,10.77,55.38
Dog,8,house,86.59,76.41,10.18,55.09
Explosion,1,subway,78.87,12.93,65.94,82.97
Explosion,2,religious,87.32,21.97,65.35,82.67
Explosion,3,guardhouse,69.01,3.73,65.28,82.64
Explosion,4,nightclub,81.69,21.33,60.36,80.18
Explosion,5,subway_entrance,73.24,13.35,59.89,79.94
Explosion,6,light_rail,66.20,7.64,58.56,79.28
Explosion,7,gallery,74.65,21.52,53.13,76.56
Explosion,8,busway,59.15,7.77,51.38,75.69
Explosion,9,proposed,71.83,20.59,51.24,75.62
Explosion,10,museum,88.73,38.14,50.59,75.30
Explosion,11,courthouse,66.20,15.86,50.34,75.17
Explosion,12,biergarten,53.52,3.49,50.03,75.02
Explosion,13,brownfield,74.65,25.01,49.64,74.82
Explosion,14,theatre,83.10,34.26,48.84,74.42
Explosion,15,fitness_center,83.10,35.55,47.55,73.78
Explosion,16,elevator,73.24,25.75,47.49,73.75
Explosion,17,fountain,91.55,44.57,46.98,73.49
Explosion,18,dog_park,71.83,25.11,46.72,73.36
Explosion,19,bank,88.73,42.08,46.65,73.33
Explosion,20,channel,64.79,18.24,46.55,73.28
Explosion,21,laser_tag,46.48,0.11,46.37,73.19
Explosion,22,self_checkout_station,46.48,0.11,46.37,73.19
Explosion,23,service_desk,46.48,0.11,46.37,73.19
Explosion,24,tree_pit,46.48,0.11,46.37,73.19
Explosion,25,amusement_arcade,56.34,9.97,46.37,73.19
Explosion,26,health_post,46.48,0.21,46.27,73.14
Explosion,27,primary,90.14,43.91,46.23,73.12
Explosion,28,the embassy,46.48,0.32,46.16,73.08
Explosion,29,civic_admin,46.48,0.37,46.11,73.05
Explosion,30,kiosk,56.34,10.23,46.11,73.06
Explosion,31,small_electric_vehicle_parking,46.48,0.50,45.98,72.99
Explosion,32,road,46.48,0.56,45.92,72.96
Explosion,33,library_dropoff,46.48,0.90,45.58,72.79
Explosion,34,fixme,46.48,0.95,45.53,72.77
Explosion,35,holding_position,46.48,1.06,45.42,72.71
Explosion,36,building,73.24,27.86,45.38,72.69
Explosion,37,telephone,69.01,23.68,45.33,72.66
Explosion,38,events_centre,46.48,1.19,45.29,72.64
Explosion,39,canteen,46.48,1.22,45.26,72.63
Explosion,40,studio,59.15,14.09,45.06,72.53
Explosion,41,mobility_hub,46.48,1.43,45.05,72.52
Explosion,42,social_center,56.34,11.82,44.52,72.26
Explosion,43,events_venue,59.15,14.94,44.21,72.11
Explosion,44,tree_stump,46.48,2.38,44.10,72.05
Explosion,45,traffic_sign,46.48,2.43,44.05,72.02
Explosion,46,atm,88.73,44.91,43.82,71.91
Explosion,47,library,81.69,37.91,43.78,71.89
Explosion,48,payment_terminal,46.48,2.83,43.65,71.83
Explosion,49,archive,46.48,3.52,42.96,71.48
Explosion,50,platform_edge,46.48,3.52,42.96,71.48
Falling water/Rain,1,stop_area,20.43,6.66,13.77,56.89
Falling water/Rain,2,public_bookcase,30.34,18.38,11.96,55.98
Falling water/Rain,3,tram,29.10,17.64,11.46,55.73
Falling water/Rain,4,path,96.28,85.84,10.44,55.22
Falling water/Rain,5,village_green,26.01,15.89,10.12,55.06
Flowing water,1,track,94.65,71.63,23.02,61.51
Flowing water,2,river,51.89,35.12,16.77,58.38
Flowing water,3,stream,69.18,53.56,15.62,57.81
Flowing water,4,beach,32.70,18.01,14.69,57.34
Flowing water,5,slipway,23.90,10.66,13.24,56.62
Footsteps,1,turning_circle,70.88,48.81,22.07,61.03
Footsteps,2,telephone,44.21,22.95,21.26,60.63
Footsteps,3,food_sharing,21.40,2.30,19.10,59.55
Footsteps,4,motel,26.67,8.18,18.49,59.24
Footsteps,5,factory,20.00,1.68,18.32,59.16
Footsteps,6,hour,37.54,21.24,16.30,58.15
Footsteps,7,grave_yard,25.61,10.31,15.30,57.65
Footsteps,8,garages,46.32,31.27,15.05,57.53
Footsteps,9,bureau_de_change,31.93,17.01,14.92,57.46
Footsteps,10,brownfield,39.30,24.85,14.45,57.23
Footsteps,11,car_rental,35.44,21.13,14.31,57.16
Footsteps,12,cemetery,43.16,28.92,14.24,57.12
Footsteps,13,religious,36.14,22.14,14.00,57.00
Footsteps,14,warehouse,36.84,23.23,13.61,56.80
Footsteps,15,ice_cream,47.72,34.16,13.56,56.78
Footsteps,16,money_transfer,20.00,6.44,13.56,56.78
Footsteps,17,cappella,34.04,20.51,13.53,56.77
Footsteps,18,kindergarten,47.72,35.19,12.53,56.27
Footsteps,19,motorway_link,30.53,18.13,12.40,56.20
Footsteps,20,post_office,51.23,39.62,11.61,55.80
Footsteps,21,public,39.30,27.85,11.45,55.73
Footsteps,22,hostel,35.44,24.54,10.90,55.45
Footsteps,23,motorway,30.53,20.01,10.52,55.26
Footsteps,24,primary_link,35.09,24.57,10.52,55.26
Helicopter,1,motel,50.00,8.93,41.07,70.53
Helicopter,2,factory,39.66,2.48,37.18,68.59
Helicopter,3,brownfield,60.34,25.40,34.94,67.47
Helicopter,4,money_transfer,41.38,6.93,34.45,67.22
Helicopter,5,motorway,51.72,20.31,31.41,65.70
Helicopter,6,food_sharing,34.48,3.24,31.24,65.62
Helicopter,7,turning_circle,81.03,49.97,31.06,65.53
Helicopter,8,hostel,55.17,24.89,30.28,65.14
Helicopter,9,motorway_junction,51.72,21.50,30.22,65.11
Helicopter,10,motorway_link,48.28,18.60,29.68,64.84
Helicopter,11,warehouse,53.45,23.79,29.66,64.83
Helicopter,12,fire_station,53.45,24.95,28.50,64.25
Helicopter,13,hour,50.00,22.02,27.98,63.99
Helicopter,14,religious,50.00,22.76,27.24,63.62
Helicopter,15,outdoor_seating,60.34,33.14,27.20,63.60
Helicopter,16,bureau_de_change,44.83,17.70,27.13,63.56
Helicopter,17,telephone,50.00,24.13,25.87,62.94
Helicopter,18,hotel,75.86,50.82,25.04,62.52
Helicopter,19,kindergarten,60.34,35.75,24.59,62.30
Helicopter,20,grave_yard,34.48,11.09,23.39,61.69
Helicopter,21,coffee,84.48,61.12,23.36,61.68
Helicopter,22,car_rental,44.83,21.84,22.99,61.49
Helicopter,23,fuel,68.97,46.71,22.26,61.13
Helicopter,24,public,50.00,28.37,21.63,60.81
Helicopter,25,vending_machine,63.79,42.76,21.03,60.52
Helicopter,26,social facility,60.34,39.36,20.98,60.49
Helicopter,27,heat,29.31,9.33,19.98,59.99
Helicopter,28,house,96.55,76.58,19.97,59.98
Helicopter,29,primary_link,44.83,25.05,19.78,59.89
Helicopter,30,secondary_link,50.00,30.64,19.36,59.68
Helicopter,31,parking_entrance,60.34,41.62,18.72,59.36
Helicopter,32,cemetery,48.28,29.69,18.59,59.30
Helicopter,33,helter,68.97,51.32,17.65,58.83
Helicopter,34,events_venue,32.76,15.49,17.27,58.64
Helicopter,35,park,84.48,67.65,16.83,58.41
Helicopter,36,cappella,37.93,21.26,16.67,58.33
Helicopter,37,stop,65.52,49.00,16.52,58.26
Helicopter,38,swimming pool,65.52,49.18,16.34,58.17
Helicopter,39,headland,15.52,0.00,15.52,57.76
Helicopter,40,stable,15.52,1.34,14.18,57.09
Helicopter,41,resort,15.52,1.92,13.60,56.80
Helicopter,42,traffic_island,15.52,3.35,12.17,56.09
Helicopter,43,subway,25.86,13.96,11.90,55.95
Helicopter,44,footway,100.00,88.12,11.88,55.94
Helicopter,45,subway_entrance,25.86,14.28,11.58,55.79
Helicopter,46,bridleway,15.52,4.19,11.33,55.66
Helicopter,47,bay,15.52,5.22,10.30,55.15
Helicopter,48,plant_nursery,12.07,1.92,10.15,55.08
Insects(Flying),1,track,90.84,72.93,17.91,58.95
Insects(Flying),2,farmland,46.56,31.40,15.16,57.58
Insects(Flying),3,spring,19.08,4.94,14.14,57.07
Insects(Flying),4,swimming_pool,14.50,2.69,11.81,55.91
Insects(Flying),5,peak,25.19,13.40,11.79,55.89
Insects(Flying),6,orchard,25.19,14.05,11.14,55.57
Laughter,1,charging_station,83.67,42.47,41.20,70.60
Laughter,2,public,67.35,28.20,39.15,69.57
Laughter,3,secondary_link,69.39,30.43,38.96,69.48
Laughter,4,gallery,59.18,22.02,37.16,68.58
Laughter,5,social facility,75.51,39.21,36.30,68.15
Laughter,6,turning_circle,85.71,49.99,35.72,67.86
Laughter,7,tertiary_link,57.14,21.76,35.38,67.69
Laughter,8,retail,93.88,59.40,34.48,67.24
Laughter,9,traffic_signals,91.84,57.45,34.39,67.19
Laughter,10,construction,83.67,49.30,34.37,67.19
Laughter,11,parking_entrance,75.51,41.47,34.04,67.02
Laughter,12,ice_cream,67.35,34.74,32.61,66.30
Laughter,13,street_lamp,79.59,47.20,32.39,66.19
Laughter,14,cinema,55.10,22.73,32.37,66.19
Laughter,15,commercial,91.84,59.47,32.37,66.19
Laughter,16,office,71.43,39.50,31.93,65.97
Laughter,17,kindergarten,67.35,35.72,31.63,65.81
Laughter,18,hotel,81.63,50.80,30.83,65.41
Laughter,19,stop,79.59,48.86,30.73,65.37
Laughter,20,police,65.31,35.16,30.15,65.08
Laughter,21,doctors,63.27,33.22,30.05,65.03
Laughter,22,proposed,51.02,21.16,29.86,64.93
Laughter,23,dentist,63.27,33.59,29.68,64.84
Laughter,24,motorway_junction,51.02,21.58,29.44,64.72
Laughter,25,fitness_center,65.31,36.06,29.25,64.62
Laughter,26,library,67.35,38.34,29.01,64.50
Laughter,27,bank,71.43,42.58,28.85,64.43
Laughter,28,taxi,57.14,28.99,28.15,64.08
Laughter,29,atm,73.47,45.36,28.11,64.06
Laughter,30,outdoor_seating,61.22,33.19,28.03,64.02
Laughter,31,corridor,46.94,18.92,28.02,64.01
Laughter,32,clinic,63.27,35.98,27.29,63.65
Laughter,33,school,93.88,66.99,26.89,63.45
Laughter,34,transportation,40.82,14.09,26.73,63.36
Laughter,35,vending_machine,69.39,42.73,26.66,63.33
Laughter,36,coffee,87.76,61.13,26.63,63.31
Laughter,37,civic,48.98,22.60,26.38,63.19
Laughter,38,community_center,61.22,34.90,26.32,63.16
Laughter,39,park,93.88,67.57,26.31,63.16
Laughter,40,helter,77.55,51.25,26.30,63.15
Laughter,41,terrace,53.06,26.86,26.20,63.10
Laughter,42,the roof,85.71,59.71,26.00,63.00
Laughter,43,veterinary,46.94,20.97,25.97,62.98
Laughter,44,post_box,79.59,53.88,25.71,62.86
Laughter,45,car_rental,46.94,21.87,25.07,62.53
Laughter,46,sports_center,71.43,46.52,24.91,62.45
Laughter,47,place_of_worship,95.92,71.35,24.57,62.29
Laughter,48,artwork,79.59,55.37,24.22,62.11
Laughter,49,secondary,93.88,69.78,24.10,62.05
Laughter,50,religious,46.94,22.86,24.08,62.04
Metro,1,subway,87.30,12.93,74.37,87.19
Metro,2,subway_entrance,80.95,13.35,67.60,83.80
Metro,3,flowerbed,80.95,19.47,61.48,80.74
Metro,4,public,88.89,27.70,61.19,80.59
Metro,5,religious,79.37,22.24,57.13,78.56
Metro,6,station,93.65,36.53,57.12,78.56
Metro,7,clinic,92.06,35.40,56.66,78.33
Metro,8,cinema,77.78,22.24,55.54,77.77
Metro,9,disused,69.84,14.59,55.25,77.62
Metro,10,railway_crossing,69.84,14.61,55.23,77.62
Metro,11,bicycle_rental,92.06,36.85,55.21,77.61
Metro,12,gallery,76.19,21.60,54.59,77.30
Metro,13,dentist,87.30,33.08,54.22,77.11
Metro,14,doctors,85.71,32.74,52.97,76.48
Metro,15,switch,84.13,31.15,52.98,76.49
Metro,16,stop,100.00,48.40,51.60,75.80
Metro,17,railway,87.30,36.24,51.06,75.53
Metro,18,parking_entrance,92.06,41.07,50.99,75.50
Metro,19,train_station,71.43,20.63,50.80,75.40
Metro,20,fitness_station,76.19,25.56,50.63,75.31
Metro,21,bank,92.06,42.13,49.93,74.97
Metro,22,police,84.13,34.74,49.39,74.69
Metro,23,picnic table,85.71,36.85,48.86,74.43
Metro,24,hour,69.84,21.66,48.18,74.09
Metro,25,library,85.71,37.93,47.78,73.89
Metro,26,fountain,92.06,44.66,47.40,73.70
Metro,27,elevator,73.02,25.85,47.17,73.59
Metro,28,atm,92.06,44.95,47.11,73.56
Metro,29,buffer_stop,68.25,21.50,46.75,73.38
Metro,30,theatre,80.95,34.40,46.55,73.28
Metro,31,language_school,55.56,9.55,46.01,73.00
Metro,32,college,73.02,27.06,45.96,72.98
Metro,33,give_way,92.06,46.21,45.85,72.92
Metro,34,kindergarten,80.95,35.37,45.58,72.79
Metro,35,shed,87.30,41.89,45.41,72.70
Metro,36,fitness_center,80.95,35.69,45.26,72.63
Metro,37,kiosk,55.56,10.34,45.22,72.61
Metro,38,street_lamp,92.06,46.87,45.19,72.59
Metro,39,artwork,100.00,54.95,45.05,72.53
Metro,40,office,84.13,39.17,44.96,72.48
Metro,41,primary,88.89,44.03,44.86,72.43
Metro,42,construction,93.65,49.01,44.64,72.32
Metro,43,drinking water,88.89,44.37,44.52,72.26
Metro,44,proposed,65.08,20.81,44.27,72.13
Metro,45,ticket_validator,49.21,5.20,44.01,72.00
Metro,46,vending_machine,85.71,42.36,43.35,71.67
Metro,47,nightclub,65.08,21.74,43.34,71.67
Metro,48,detached,76.19,32.95,43.24,71.62
Metro,49,brownfield,68.25,25.22,43.03,71.52
Metro,50,studio,57.14,14.22,42.92,71.46
Music,1,bicycle_rental,81.94,36.04,45.90,72.95
Music,2,tree_row,88.89,46.95,41.94,70.97
Music,3,helter,91.67,50.03,41.64,70.82
Music,4,traffic_signals,96.53,56.39,40.14,70.07
Music,5,bicycle_parking,97.22,57.44,39.78,69.89
Music,6,artwork,92.36,54.26,38.10,69.05
Music,7,garden,93.75,55.90,37.85,68.92
Music,8,waste_basket,97.22,59.70,37.52,68.76
Music,9,recycling,86.81,49.30,37.51,68.75
Music,10,the roof,95.83,58.65,37.18,68.59
Music,11,tram,54.17,17.22,36.95,68.47
Music,12,cycleway,97.92,62.10,35.82,67.91
Music,13,street_lamp,81.94,46.28,35.66,67.83
Music,14,fountain,79.17,44.12,35.05,67.53
Music,15,stop_area,40.97,6.52,34.45,67.22
Music,16,park,97.92,66.74,31.18,65.59
Music,17,tree,100.00,69.30,30.70,65.35
Music,18,tram_crossing,47.92,17.92,30.00,65.00
Music,19,apartments,96.53,67.49,29.04,64.52
Music,20,drinking water,72.92,44.02,28.90,64.45
Music,21,school,93.75,66.31,27.44,63.72
Music,22,stop_position,82.64,55.58,27.06,63.53
Music,23,bench,100.00,73.77,26.23,63.12
Music,24,tram_stop,45.83,20.05,25.78,62.89
Music,25,tram_level_crossing,42.36,16.71,25.65,62.82
Music,26,grass,97.92,72.94,24.98,62.49
Music,27,crossing,100.00,75.98,24.02,62.01
Music,28,social facility,62.50,38.79,23.71,61.86
Music,29,sports_center,69.44,45.96,23.48,61.74
Music,30,house,99.31,76.01,23.30,61.65
Music,31,platform,99.31,76.06,23.25,61.62
Music,32,wood,84.03,61.02,23.01,61.50
Music,33,bus_stop,98.61,75.85,22.76,61.38
Music,34,theatre,56.94,34.31,22.63,61.31
Music,35,charging_station,64.58,42.16,22.42,61.21
Music,36,playground,90.97,69.57,21.40,60.70
Music,37,bunker,28.47,7.17,21.30,60.65
Music,38,give_way,67.36,46.17,21.19,60.59
Music,39,forest,79.86,59.49,20.37,60.19
Music,40,attraction,61.11,40.81,20.30,60.15
Music,41,swimming pool,68.75,48.68,20.07,60.03
Music,42,no,27.08,7.20,19.88,59.94
Music,43,pitch,96.53,76.79,19.74,59.87
Music,44,ditch,40.97,21.27,19.70,59.85
Music,45,information,84.72,65.07,19.65,59.83
Music,46,scrub,71.53,51.99,19.54,59.77
Music,47,museum,56.94,38.38,18.56,59.28
Music,48,wetland,41.67,23.13,18.54,59.27
Music,49,village_green,34.03,16.06,17.97,58.98
Music,50,shed,59.03,41.99,17.04,58.52
Musical instrument,1,bank,77.66,41.16,36.50,68.25
Musical instrument,2,living_street,67.55,34.34,33.21,66.60
Musical instrument,3,clinic,67.55,34.72,32.83,66.41
Musical instrument,4,police,65.96,33.99,31.97,65.98
Musical instrument,5,museum,69.15,37.53,31.62,65.81
Musical instrument,6,library,68.62,37.18,31.44,65.72
Musical instrument,7,public,58.51,27.17,31.34,65.67
Musical instrument,8,station,67.02,35.95,31.07,65.53
Musical instrument,9,bar,75.53,46.13,29.40,64.70
Musical instrument,10,park,95.74,66.48,29.26,64.63
Musical instrument,11,pedestrian,85.64,57.06,28.58,64.29
Musical instrument,12,post_office,66.49,39.14,27.35,63.67
Musical instrument,13,arts_centre,48.94,21.69,27.25,63.62
Musical instrument,14,kindergarten,61.70,34.81,26.89,63.45
Musical instrument,15,cinema,48.40,21.85,26.55,63.28
Musical instrument,16,veterinary,45.74,20.05,25.69,62.84
Musical instrument,17,pharmacy,78.19,52.54,25.65,62.83
Musical instrument,18,social facility,63.83,38.43,25.40,62.70
Musical instrument,19,church,81.91,57.01,24.90,62.45
Musical instrument,20,place_of_worship,95.21,70.46,24.75,62.38
Musical instrument,21,school,90.43,66.15,24.28,62.14
Musical instrument,22,hospital,46.28,22.61,23.67,61.84
Musical instrument,23,dentist,56.38,32.82,23.56,61.78
Musical instrument,24,sports_center,69.15,45.69,23.46,61.73
Musical instrument,25,detached,55.85,32.52,23.33,61.66
Musical instrument,26,pub,65.96,42.72,23.24,61.62
Musical instrument,27,guest_house,54.26,31.37,22.89,61.44
Musical instrument,28,taxi,51.06,28.23,22.83,61.41
Musical instrument,29,fountain,67.02,44.33,22.69,61.34
Musical instrument,30,townhall,45.21,22.56,22.65,61.33
Musical instrument,31,construction,71.28,48.64,22.64,61.32
Musical instrument,32,hostel,46.81,24.25,22.56,61.28
Musical instrument,33,parking_entrance,63.30,40.81,22.49,61.24
Musical instrument,34,the roof,81.38,58.95,22.43,61.21
Musical instrument,35,swimming pool,70.74,48.34,22.40,61.20
Musical instrument,36,hour,43.62,21.36,22.26,61.13
Musical instrument,37,steps,92.02,69.91,22.11,61.05
Musical instrument,38,street_lamp,68.62,46.54,22.08,61.04
Musical instrument,39,crossing,97.87,75.80,22.07,61.04
Musical instrument,40,childcare,37.77,15.77,22.00,61.00
Musical instrument,41,railway,57.98,36.01,21.97,60.98
Musical instrument,42,atm,66.49,44.65,21.84,60.92
Musical instrument,43,music_school,30.32,8.59,21.73,60.86
Musical instrument,44,hotel,71.81,50.14,21.67,60.84
Musical instrument,45,language_school,30.85,9.25,21.60,60.80
Musical instrument,46,apartment,39.89,18.39,21.50,60.75
Musical instrument,47,office,60.11,38.87,21.24,60.62
Musical instrument,48,attraction,61.70,40.53,21.17,60.59
Musical instrument,49,fast_food,79.26,58.32,20.94,60.47
Musical instrument,50,ice_cream,54.79,34.15,20.64,60.32
Plane,1,the roof,87.06,57.43,29.63,64.81
Plane,2,traffic_signals,84.41,55.32,29.09,64.55
Plane,3,stop_area,33.82,5.29,28.53,64.27
Plane,4,tram,44.12,16.14,27.98,63.99
Plane,5,wood,86.76,59.48,27.28,63.64
Plane,6,waste_basket,85.29,58.76,26.53,63.27
Plane,7,park,92.06,65.57,26.49,63.25
Plane,8,bicycle_rental,61.76,35.43,26.33,63.16
Plane,9,helter,74.71,49.35,25.36,62.68
Plane,10,bicycle_parking,81.76,56.72,25.04,62.52
Plane,11,cycleway,85.59,61.30,24.29,62.15
Plane,12,garden,79.41,55.18,24.23,62.11
Plane,13,tree_row,70.00,46.44,23.56,61.78
Plane,14,motorway,41.47,18.78,22.69,61.34
Plane,15,tram_stop,41.18,19.07,22.11,61.06
Plane,16,tree,89.12,68.64,20.48,60.24
Plane,17,crossing,94.71,75.16,19.55,59.77
